Entity,PDFpg,Review,Episose,EpisodeName,NamefromTranscript,Subject,Type,ID,Predicate2,Predicate2Name,Object2,Object2Name,Predicate3,Predicate3Name,Object3,Object3Name,Predicate4,Predicate4Name,Object4,Object4Name,Object5,Object5Name,Notes
44,12,,https://www.wikidata.org/entity/Q77321346,Problem Space,intelligence,intelligence,http://www.w3.org/2004/02/skos/core#Concept,https://www.wikidata.org/entity/Q83500,,,,,,,,,,,,,,,
,12,,https://www.wikidata.org/entity/Q77321347,Problem Space,Stuart Richie,,,,,,,,,,,,,,,,,,
45,12,,https://www.wikidata.org/entity/Q77321348,Problem Space,Charles Spearman,Charles Spearman,http://xmlns.com/foaf/0.1/Person,https://www.wikidata.org/entity/Q356611,,,,,,,,,,,,,,,
46,13,,https://www.wikidata.org/entity/Q77321349,Problem Space,congnitive function,cognitive function,http://www.w3.org/2004/02/skos/core#Concept,https://www.wikidata.org/entity/Q13434561,,,,,,,,,,,,,,,
47,13,,https://www.wikidata.org/entity/Q77321350,Problem Space,problem space,,,,,,,,,,,,,,,,,,
48,14,,https://www.wikidata.org/entity/Q77321351,Problem Space,Herb Needleman,Herbert L. Needleman,http://xmlns.com/foaf/0.1/Person,https://www.wikidata.org/entity/Q5735148,,,,,,,,,,,,,,,
49,,,https://www.wikidata.org/entity/Q77321352,Problem Space,Lydia Denworth,,,,,,,,,,,,,,,,,,
50,,,https://www.wikidata.org/entity/Q77321353,Problem Space,Morry Regun,,,,,,,,,,,,,,,,,,
51,,,https://www.wikidata.org/entity/Q77321354,Problem Space,acute lead poisoning,lead poisoning,http://dbpedia.org/ontology/Disease,https://www.wikidata.org/entity/Q110315,,,,,,,,,,,,,,,
52,18,,https://www.wikidata.org/entity/Q77321355,Problem Space,published that in the New England Journal of Medicine in 1979,Deficits in Psychologic and Classroom Performance of Children with Elevated Dentine Lead Levels,http://schema.org/ScholarlyArticle,https://doi.org/10.1056/NEJM197903293001301,,authored by,"
",Herb Needleman,"
",published in ,,New England Journal of Medicine,,,,,,,
53,19,,https://www.wikidata.org/entity/Q77321356,Problem Space,Joel Schwartz,Joel Schwartz,http://xmlns.com/foaf/0.1/Person,https://www.wikidata.org/entity/Q16980703,,employed by,,EPA,,has profession,,economic analyst,,,,,,,
54,19,,https://www.wikidata.org/entity/Q77321357,Problem Space,an economic analysis,,,https://archive.epa.gov/ncer/ej/web/pdf/schwartz.pdf,,,,,,,,,,,,,,,
55,20,,https://www.wikidata.org/entity/Q77321358,Problem Space,EPA,United States Environmental Protection Agency,http://dbpedia.org/ontology/GovernmentAgency,https://www.wikidata.org/entity/Q460173,,banned,,lead in gasoline,,,,,,,,,,,
56,20,,https://www.wikidata.org/entity/Q77321359,Problem Space,blood lead level of Americans,,,,,,,,,,,,,,,,,,
57,20,,https://www.wikidata.org/entity/Q77321360,Problem Space,PubMed,PubMed,http://dbpedia.org/ontology/Database,https://www.wikidata.org/entity/Q180686,,,,,,,,,,,,,,,
58,1,,https://www.wikidata.org/entity/Q77327182,Relative Genius,Steven Levy,Steven Levy,http://xmlns.com/foaf/0.1/Person,https://www.wikidata.org/entity/Q929788,,editor,,Wired Magazine,,previously employed,,New Jersey Monthly,,,,,,,
59,1,,https://www.wikidata.org/entity/Q77327183,Relative Genius,New Jersey Monthly,New Jersey Monthly,http://dbpedia.org/ontology/Magazine,https://www.wikidata.org/entity/Q7009265,http://purl.org/ontology/mo/published,published,https://www.nj.com/inside-jersey/2013/03/the_secret_life_of_einsteins_brain.html,The secret life of Einstein's brain,,,,,,,,,,,
60,,,https://www.wikidata.org/entity/Q77327184,Relative Genius,Einstein,Albert Einstein,http://xmlns.com/foaf/0.1/Person,https://www.wikidata.org/entity/Q937,,died on,,1955-04-18,,symbol of ,,intelligence,,,,,,,
,,,https://www.wikidata.org/entity/Q77327184,Relative Genius,Einstein's brain,Albert Einstein's brain,http://purl.obolibrary.org/obo/OBI_0002516,https://www.wikidata.org/entity/Q2464312,,,,,,,,,,,,,,,
61,,,https://www.wikidata.org/entity/Q77327185,Relative Genius,newspaper archive,,,,,published,,Dr. Albert Einstein Dies in Sleep at 76; World Mourns Loss of Great Scientist,,,,,,,,,,,https://archive.nytimes.com/www.nytimes.com/learning/general/onthisday/bday/0314.html
62,5,,https://www.wikidata.org/entity/Q77327186,Relative Genius,Thomas Harvey,Thomas Stoltz Harvey,http://xmlns.com/foaf/0.1/Person,https://www.wikidata.org/entity/Q1869196,,"
",,,,,,,,,,,,,
63,8,,https://www.wikidata.org/entity/Q77327187,Relative Genius,Dr. Fred Lepore,,,,,occupation,,neurologist,,authored,,,,,,,,,
64,,,https://www.wikidata.org/entity/Q77327188,Relative Genius,Carolyn Abraham,Carolyn Abraham,http://xmlns.com/foaf/0.1/Person,https://www.wikidata.org/entity/Q14121007,,occupation,,science journalist,,authored,,Possessing Genius,,,,,,,
65,12,,https://www.wikidata.org/entity/Q77327189,Relative Genius,Einstein's brain,Albert Einstein's brain,http://purl.obolibrary.org/obo/OBI_0002516,https://www.wikidata.org/entity/Q2464312,,studied by,,,,portait by,,,,,,,,,
66,12,,https://www.wikidata.org/entity/Q77327190,Relative Genius,university of pennsylvania,,,,,dissects,,,,,,,,,,,,,
67,12,,https://www.wikidata.org/entity/Q77327191,Relative Genius,Thomas Harvey,Thomas Stoltz Harvey,http://xmlns.com/foaf/0.1/Person,https://www.wikidata.org/entity/Q1869196,,,,,,,,,,,,,,,
68,13,,https://www.wikidata.org/entity/Q77327192,Relative Genius,Neurons,neuron,http://purl.org/biotop/biotop.owl#Cell,https://www.wikidata.org/entity/Q43054,,,,,,,,,,,,,,,
69,15,,https://www.wikidata.org/entity/Q77327193,Relative Genius,science magazine,Science,http://www.eurocris.org/ontologies/cerif/1.3#Publication,https://www.wikidata.org/entity/Q192864,,,,,,,,,,,,,,,
70,16,,https://www.wikidata.org/entity/Q77327194,Relative Genius,Marian Diamond,Marian Diamond,http://xmlns.com/foaf/0.1/Person,https://www.wikidata.org/entity/Q16875920,http://dbpedia.org/ontology/occupation,occupation,https://www.wikidata.org/entity/Q6337803,Professor of Anatomy,http://purl.org/vocab/relationship/employedBy,employed by,https://www.wikidata.org/entity/Q168756,University of Berkley,,founder of ,,modern neuroscience,,,
71,,,https://www.wikidata.org/entity/Q77327195,Relative Genius,study on rats,The effects of an enriched environment on the histology of the rat cerebral cortex,http://schema.org/ScholarlyArticle,https://doi.org/10.1002/cne.901230110,,,,,,,,,,,,,,,
72,,,https://www.wikidata.org/entity/Q77327196,Relative Genius,Einstein's brain,Albert Einstein's brain,http://purl.obolibrary.org/obo/OBI_0002516,https://www.wikidata.org/entity/Q2464312,,sent to,,Marian Diamond,,sent by,,Thomas Harvey,,,,,,,
73,,,https://www.wikidata.org/entity/Q77327197,Relative Genius,she [Diamond] finds,On the brain of a scientist: Albert Einstein,http://schema.org/ScholarlyArticle,https://doi.org/10.1016/0014-4886(85)90123-2,,,,,,,,,,,,,,,
74,,,https://www.wikidata.org/entity/Q77327198,Relative Genius,Britt Anderson,Britt Anderson,http://xmlns.com/foaf/0.1/Person,https://www.wikidata.org/entity/Q60665706,,,,,,,,,,,,,,,
75,,,https://www.wikidata.org/entity/Q77327199,Relative Genius,He [Anderson] studied 5 other adult male dead brains,,,,,,,,,,,,,,,,,,
76,18,,https://www.wikidata.org/entity/Q77327200,Relative Genius,Sandra Witelson,Sandra Witelson,http://xmlns.com/foaf/0.1/Person,https://www.wikidata.org/entity/Q22915124,,,,,,,,,,,,,,,
77,18,,https://www.wikidata.org/entity/Q77327201,Relative Genius,she [Witelson] writes this article,The exceptional brain of Albert Einstein,http://schema.org/ScholarlyArticle,https://doi.org/10.1016/S0140-6736(98)10327-6,,,,,,,,,,,,,,,
78,18,,https://www.wikidata.org/entity/Q77327202,Relative Genius,Sylvian fissure,lateral sulcus,http://www.ontotext.com/proton/protonext#BodyPart,https://www.wikidata.org/entity/Q1256980,,,,,,,,,,,,,,,
79,20,,https://www.wikidata.org/entity/Q77327203,Relative Genius,Thomas Harvey,Thomas Stoltz Harvey,http://xmlns.com/foaf/0.1/Person,https://www.wikidata.org/entity/Q1869196,,cited in,,,,returned,,Albert Einstein's brain,,,,,,,
80,,,https://www.wikidata.org/entity/Q77327204,Relative Genius,Special Relativity,special relativity,http://www.w3.org/2004/02/skos/core#Concept,https://www.wikidata.org/entity/Q11455,,studied by,,Poincare,,studied by,,Lorentz,,studied by,,Albert Einstein,,,
81,,,https://www.wikidata.org/entity/Q77327205,Relative Genius,Peter Gallison,Peter Galison,http://xmlns.com/foaf/0.1/Person,https://www.wikidata.org/entity/Q444025,,,,,,,,,,,,,,,
82,,,https://www.wikidata.org/entity/Q77327206,Relative Genius,Jimena Canales,Jimena Canales ,http://xmlns.com/foaf/0.1/Person,https://www.wikidata.org/entity/Q19856984,,occupation,,historian of science,,employed by,,University of Illinois,,studies,,Albert Einstein,,Aaron Bernstein,
83,,,https://www.wikidata.org/entity/Q77327207,Relative Genius,Aaron Bernstein,Aaron Bernstein,http://xmlns.com/foaf/0.1/Person,https://www.wikidata.org/entity/Q67583,,author of,,,,influenced,,Albert Einstein,,,,,,,
84,,,https://www.wikidata.org/entity/Q77327208,Relative Genius,Alberto Martinez,,,,,occupation,,historian of science,,studies,,Albert Einstein,,studies,,David Hume,,,
85,,,https://www.wikidata.org/entity/Q77327209,Relative Genius,David Hume,David Hume,http://xmlns.com/foaf/0.1/Person,https://www.wikidata.org/entity/Q37160,,occupation,,philosopher,,influenced,,Albert Einstein,,,,,,,
86,,,https://www.wikidata.org/entity/Q77327210,Relative Genius,Einstein,Albert Einstein,http://xmlns.com/foaf/0.1/Person,https://www.wikidata.org/entity/Q937,,employed by,,Swiss patent office,,,,,,,,,,,
87,,,https://www.wikidata.org/entity/Q77327211,Relative Genius,ETH,,"
",,,attended by ,,Albert Einstein,,attended by,,Mileva Maric,,,,,,,
88,,,https://www.wikidata.org/entity/Q77327212,Relative Genius,Mileva Maric,Mileva Marić,http://xmlns.com/foaf/0.1/Person,https://www.wikidata.org/entity/Q76346,,influenced,,Albert Einstein,,married to,,Albert Einstein,,,,,,,
89,,,https://www.wikidata.org/entity/Q77327213,Relative Genius,these letters,,,,,,,,,,,,,,,,,,
90,31,,https://www.wikidata.org/entity/Q77327214,Relative Genius,Brian Greene,Brian Greene,http://xmlns.com/foaf/0.1/Person,https://www.wikidata.org/entity/Q60815,,,,,,,,,,,,,,,
91,32,,https://www.wikidata.org/entity/Q77327215,Relative Genius,Fred Lepore,,,,,,,,,,,,,,,,,,
92,32,,https://www.wikidata.org/entity/Q77327216,Relative Genius,Sebastian Seung,Sebastian Seung,http://xmlns.com/foaf/0.1/Person,https://www.wikidata.org/entity/Q7442523,,,,,,,,,,,,,,,
93,32,,https://www.wikidata.org/entity/Q77327217,Relative Genius,materialism,materialism,http://www.w3.org/2004/02/skos/core#Concept,https://www.wikidata.org/entity/Q7081,,,,,,,,,,,,,,,
94,32,,https://www.wikidata.org/entity/Q77327218,Relative Genius,dualism,dualism,http://www.w3.org/2004/02/skos/core#Concept,https://www.wikidata.org/entity/Q167312,,,,,,,,,,,,,,,
95,33,,https://www.wikidata.org/entity/Q77327219,Relative Genius,Broca's area,Broca's area,http://www.ontotext.com/proton/protonext#BodyPart,https://www.wikidata.org/entity/Q728285,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,,,,,,,,,,
181,,,,,,,,,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,,,,,,,,,,
185,,,,,,,,,,,,,,,,,,,,,,,
186,,,,,,,,,,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,,,,,,,,,,
188,,,,,,,,,,,,,,,,,,,,,,,
189,,,,,,,,,,,,,,,,,,,,,,,
190,,,,,,,,,,,,,,,,,,,,,,,
191,,,,,,,,,,,,,,,,,,,,,,,
192,,,,,,,,,,,,,,,,,,,,,,,
193,,,,,,,,,,,,,,,,,,,,,,,
194,,,,,,,,,,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,,,,,,,,,,
196,,,,,,,,,,,,,,,,,,,,,,,
197,,,,,,,,,,,,,,,,,,,,,,,
198,,,,,,,,,,,,,,,,,,,,,,,
199,,,,,,,,,,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,,,,,,,,,,
201,,,,,,,,,,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,,,,,,,,,,
204,,,,,,,,,,,,,,,,,,,,,,,
205,,,,,,,,,,,,,,,,,,,,,,,
206,,,,,,,,,,,,,,,,,,,,,,,
207,,,,,,,,,,,,,,,,,,,,,,,
208,,,,,,,,,,,,,,,,,,,,,,,
209,,,,,,,,,,,,,,,,,,,,,,,
210,,,,,,,,,,,,,,,,,,,,,,,
211,,,,,,,,,,,,,,,,,,,,,,,
212,,,,,,,,,,,,,,,,,,,,,,,
213,,,,,,,,,,,,,,,,,,,,,,,
214,,,,,,,,,,,,,,,,,,,,,,,
215,,,,,,,,,,,,,,,,,,,,,,,
216,,,,,,,,,,,,,,,,,,,,,,,
217,,,,,,,,,,,,,,,,,,,,,,,
218,,,,,,,,,,,,,,,,,,,,,,,
