Entity,PDFpg,Review,Episose,EpisodeName,NamefromTranscript,Subject,Type,URI,Predicate2,Predicate2Name,Object2,Object2Name,Predicate3,Predicate3Name,Object3,Object3Name,Predicate4,Predicate4Name,Object4,Object4Name,Object5,Object5Name,Notes,
75,,Complete,https://www.wikidata.org/entity/Q77327182,Relative Genius,Special Relativity,special relativity,http://www.w3.org/2004/02/skos/core#Concept,https://www.wikidata.org/entity/Q11455,http://sparql.cwrc.ca/ontologies/cwrc#studiedBy,studied by,https://www.wikidata.org/entity/Q81082,Henri Poincaré,http://sparql.cwrc.ca/ontologies/cwrc#studiedBy,studied by,https://www.wikidata.org/entity/Q41688,Hendrik Lorentz,http://sparql.cwrc.ca/ontologies/cwrc#studiedBy,studied by,https://www.wikidata.org/entity/Q937,Albert Einstein,,,,
76,,Complete,https://www.wikidata.org/entity/Q77327182,Relative Genius,Poincare,Henri Poincaré,http://xmlns.com/foaf/0.1/Person,https://www.wikidata.org/entity/Q81082,,,,,,,,,,,,,,,,
77,,Complete,https://www.wikidata.org/entity/Q77327182,Relative Genius,Lorentz,Hendrik Lorentz,http://xmlns.com/foaf/0.1/Person,https://www.wikidata.org/entity/Q41688,,,,,,,,,,,,,,,,
78,,Complete,https://www.wikidata.org/entity/Q77327182,Relative Genius,Peter Gallison,Peter Galison,http://xmlns.com/foaf/0.1/Person,https://www.wikidata.org/entity/Q444025,http://sparql.cwrc.ca/ontology/cwrc.html#studies,occupation,https://www.wikidata.org/entity/Q16063545,historian of science,,,,,,,,,,,,
79,,Complete,https://www.wikidata.org/entity/Q77327182,Relative Genius,Jimena Canales,Jimena Canales ,http://xmlns.com/foaf/0.1/Person,https://www.wikidata.org/entity/Q19856984,http://dbpedia.org/ontology/occupation,occupation,https://www.wikidata.org/entity/Q16063546,historian of science,http://sparql.cwrc.ca/ontology/cwrc.html#studies,studies,https://www.wikidata.org/entity/Q937,Albert Einstein,http://sparql.cwrc.ca/ontology/cwrc.html#studies,studies,https://www.wikidata.org/entity/Q67583,Aaron Bernstein,,,,
80,,Complete,https://www.wikidata.org/entity/Q77327182,Relative Genius,historian of science,historian of science,"http://www.linkedmodel.org/schema/vaem#Discipline
",https://www.wikidata.org/entity/Q16063546,,,,,,,,,,,,,,,,
81,,Complete,https://www.wikidata.org/entity/Q77327182,Relative Genius,Aaron Bernstein,Aaron Bernstein,http://xmlns.com/foaf/0.1/Person,https://www.wikidata.org/entity/Q67583,http://dbpedia.org/ontology/influenced,influenced,https://www.wikidata.org/entity/Q937,Albert Einstein,,,,,,,,,,,,
82,,*URI question,https://www.wikidata.org/entity/Q77327208,Relative Genius,Alberto Martinez,,,,,occupation,,historian of science,,studies,https://www.wikidata.org/entity/Q937,Albert Einstein,http://sparql.cwrc.ca/ontology/cwrc.html#studies,studies,https://www.wikidata.org/entity/Q37160,David Hume,,,,
83,,Complete,https://www.wikidata.org/entity/Q77327182,Relative Genius,David Hume,David Hume,http://xmlns.com/foaf/0.1/Person,https://www.wikidata.org/entity/Q37160,http://dbpedia.org/ontology/occupation,occupation,https://www.wikidata.org/entity/Q4964182,philosopher,http://dbpedia.org/ontology/influenced,influenced,https://www.wikidata.org/entity/Q937,Albert Einstein,,,,,,,,
84,,Complete,https://www.wikidata.org/entity/Q77327182,Relative Genius,Einstein,Albert Einstein,http://xmlns.com/foaf/0.1/Person,https://www.wikidata.org/entity/Q937,http://www.aktors.org/ontology/portal#studies-at,studies at ,https://www.wikidata.org/entity/Q11942,ETH Zurich,,,,,,,,,,,,
85,,Complete,https://www.wikidata.org/entity/Q77327182,Relative Genius,ETH,ETH Zurich,http://lod.nl.go.kr/ontology/University,https://www.wikidata.org/entity/Q11942,,,,,,,,,,,,,,,,
86,,Complete,https://www.wikidata.org/entity/Q77327182,Relative Genius,Mileva Maric,Mileva Marić,http://xmlns.com/foaf/0.1/Person,https://www.wikidata.org/entity/Q76346,http://dbpedia.org/ontology/influenced,influenced,https://www.wikidata.org/entity/Q937,Albert Einstein,http://dbpedia.org/ontology/spouse,married to,https://www.wikidata.org/entity/Q937,Albert Einstein,http://www.aktors.org/ontology/portal#studies-at,studies at ,https://www.wikidata.org/entity/Q11942,ETH Zurich,,,,
87,,*URI question,https://www.wikidata.org/entity/Q77327213,Relative Genius,these letters,,,,,,,,,,,,,,,,,,,
88,31,Complete,https://www.wikidata.org/entity/Q77327182,Relative Genius,Brian Greene,Brian Greene,http://xmlns.com/foaf/0.1/Person,https://www.wikidata.org/entity/Q60815,http://sparql.cwrc.ca/ontology/cwrc.html#studies,studies,https://www.wikidata.org/entity/Q937,Albert Einstein,,,,,,,,,,,,
89,32,*URI question,https://www.wikidata.org/entity/Q77327215,Relative Genius,Fred Lepore,,,,,,,,,,,,,,,,,,,
90,32,Complete,https://www.wikidata.org/entity/Q77327182,Relative Genius,Sebastian Seung,Sebastian Seung,http://xmlns.com/foaf/0.1/Person,https://www.wikidata.org/entity/Q7442523,http://sparql.cwrc.ca/ontology/cwrc.html#studies,studies,https://www.wikidata.org/entity/Q43054,neuron,,,,,,,,,,,,
